dataset_id,dataset_name,original_filename,file_format_type,user_id,created_at,updated_at
70e88d50-7788-4747-bc57-1a1d302757be,Netflix Movies & TV Shows,netflix_titles.csv,CSV,analyst_alpha,2026-09-23T18:11:56.452557+00:00,2026-09-23T18:11:56.452601+00:00
b1aefd73-54e0-4490-bbb9-fea4c4320ec3,Users List,users.csv,CSV,default_user,2026-09-23T18:27:37.723056+00:00,2026-09-23T18:27:37.723103+00:00
d6a60b0d-7479-4350-83e7-01f10265c88c,Cleaning Test,test_clean.csv,CSV,default_user,2026-09-23T18:27:38.112732+00:00,2026-09-23T18:27:38.112766+00:00
f65180d1-be63-48c5-8c0b-4baba7eecffe,Export Test,export_test.csv,CSV,default_user,2026-09-23T18:27:38.320221+00:00,2026-09-23T18:27:38.320307+00:00
db4af7ae-c90f-4c65-9949-ab3a77867100,Users List,users.csv,CSV,default_user,2026-09-23T18:40:33.332350+00:00,2026-09-23T18:40:33.332370+00:00
a8e845d1-a5b3-4a60-bf54-d6bebb4187d7,Cleaning Test,test_clean.csv,CSV,default_user,2026-09-23T18:40:33.595028+00:00,2026-09-23T18:40:33.595051+00:00
837a17f7-dcc3-4abb-a5b7-719874d08150,Export Test,export_test.csv,CSV,default_user,2026-09-23T18:40:33.756121+00:00,2026-09-23T18:40:33.756142+00:00
f8ca89f7-9e4f-4d31-9729-3c5539dfa526,Users List,users.csv,CSV,default_user,2026-09-23T19:04:16.036256+00:00,2026-09-23T19:04:16.036284+00:00
c13b5efe-1022-42d6-9415-58928c655290,Cleaning Test,test_clean.csv,CSV,default_user,2026-09-23T19:04:16.234153+00:00,2026-09-23T19:04:16.234171+00:00
532431e2-653d-47eb-8525-5f19b564f33d,Export Test,export_test.csv,CSV,default_user,2026-09-23T19:04:16.374620+00:00,2026-09-23T19:04:16.374646+00:00
1151e8ee-aef8-4788-b0a8-fd29988224a7,Users List,users.csv,CSV,default_user,2026-09-23T19:32:04.336317+00:00,2026-09-23T19:32:04.336347+00:00
d226ef16-7d11-4e43-951e-b3115e7fe65f,Cleaning Test,test_clean.csv,CSV,default_user,2026-09-23T19:32:04.543490+00:00,2026-09-23T19:32:04.543510+00:00
44a7921b-c77c-46d4-a2ec-cce67bd773ff,Export Test,export_test.csv,CSV,default_user,2026-09-23T19:32:04.703312+00:00,2026-09-23T19:32:04.703330+00:00
