issue_id,report_id,version_id,dataset_id,date_key,created_at,issue_category,severity_code,column_name,description,affected_count,affected_percentage,severity_weight
678a1039-5dbd-4211-aaac-24e29377ab87,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,MISSING,CRITICAL,director,"Column 'director' has 2,634 missing values (29.91%).",2634,29.91,3
37af9ed6-5794-4cfc-bd6f-1afeb59aa13c,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,MISSING,WARNING,cast,Column 'cast' has 825 missing values (9.37%).,825,9.37,2
d01312a8-f1ba-4396-8f5c-79d0b8ec917f,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,MISSING,WARNING,country,Column 'country' has 831 missing values (9.44%).,831,9.44,2
f24ddd87-b877-45fd-ba5d-32a10725a244,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,MISSING,WARNING,date_added,Column 'date_added' has 10 missing values (0.11%).,10,0.11,2
72ffb289-78fb-4213-b182-c895b6405dc1,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,MISSING,WARNING,rating,Column 'rating' has 4 missing values (0.05%).,4,0.05,2
40536fbf-1e2e-4bbc-8ccf-77f6b1377120,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,MISSING,WARNING,duration,Column 'duration' has 3 missing values (0.03%).,3,0.03,2
a570eabf-94c2-44b0-8177-7b08731007a8,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,MISSING,CRITICAL,duration_minutes,"Column 'duration_minutes' has 2,679 missing values (30.42%).",2679,30.42,3
5ef91330-29db-4d79-80a4-bae3300f69c3,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,MISSING,CRITICAL,duration_seasons,"Column 'duration_seasons' has 6,131 missing values (69.62%).",6131,69.62,3
f1a5ef02-dbcf-47db-b8bc-4b0580dad743,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,INCONSISTENT_CATEGORY,INFO,title,"Column 'title' contains case inconsistencies: {Love in a Puff, Love In A Puff}; {Esperando la carroza, Esperando La Carroza}; {Sin senos sí hay paraíso, Sin Senos sí Hay Paraíso}; {FullMetal Alchemist, Fullmetal Alchemist}; {Death Note, DEATH NOTE}.",10,0.11,1
cefc6cb2-4e3c-4197-90bf-0f0d8dd2db8c,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,INCONSISTENT_CATEGORY,INFO,director,"Column 'director' contains case inconsistencies: {Kevin Macdonald, Kevin MacDonald}; {Fernando Frías de la Parra, Fernando Frías De La Parra}.",5,0.06,1
7dd096a6-b854-4287-9b44-fec5044feda6,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,OUTLIER,INFO,release_year,Column 'release_year' has 719 statistical outliers (IQR method).,719,8.16,1
fe2c7236-0855-4a25-93bc-dc9f9d8405f6,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,OUTLIER,INFO,duration_minutes,Column 'duration_minutes' has 450 statistical outliers (IQR method).,450,5.11,1
c64f534d-f63b-4f5a-b1d6-06d92e6e5ce6,0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,OUTLIER,INFO,duration_seasons,Column 'duration_seasons' has 259 statistical outliers (IQR method).,259,2.94,1
94bf64ed-fec0-4548-aa0c-130efb12b4e2,ab02d2a8-adfa-4a67-b0d2-f29332e2ffd7,f0d19e91-f42e-4b22-bf71-4a1f68b45dd3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:59.914457+00:00,MISSING,WARNING,date_added,Column 'date_added' has 10 missing values (0.11%).,10,0.11,2
2989703f-1986-4c1a-9e04-4ead5eaa26af,ab02d2a8-adfa-4a67-b0d2-f29332e2ffd7,f0d19e91-f42e-4b22-bf71-4a1f68b45dd3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:59.914457+00:00,MISSING,WARNING,duration,Column 'duration' has 3 missing values (0.03%).,3,0.03,2
89198931-2cf1-4e66-9335-a7573a007bd2,ab02d2a8-adfa-4a67-b0d2-f29332e2ffd7,f0d19e91-f42e-4b22-bf71-4a1f68b45dd3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:59.914457+00:00,MISSING,CRITICAL,duration_minutes,"Column 'duration_minutes' has 2,679 missing values (30.42%).",2679,30.42,3
df67dfaf-03be-4704-b308-9b8afa75a27d,ab02d2a8-adfa-4a67-b0d2-f29332e2ffd7,f0d19e91-f42e-4b22-bf71-4a1f68b45dd3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:59.914457+00:00,MISSING,CRITICAL,duration_seasons,"Column 'duration_seasons' has 6,131 missing values (69.62%).",6131,69.62,3
e6161485-0e2f-4698-9d95-c2d2833cb5b3,ab02d2a8-adfa-4a67-b0d2-f29332e2ffd7,f0d19e91-f42e-4b22-bf71-4a1f68b45dd3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:59.914457+00:00,INCONSISTENT_CATEGORY,INFO,title,"Column 'title' contains case inconsistencies: {Love in a Puff, Love In A Puff}; {Esperando la carroza, Esperando La Carroza}; {Sin senos sí hay paraíso, Sin Senos sí Hay Paraíso}; {FullMetal Alchemist, Fullmetal Alchemist}; {Death Note, DEATH NOTE}.",10,0.11,1
d2548d1a-7c19-4a1d-8cfc-434e4020cee6,ab02d2a8-adfa-4a67-b0d2-f29332e2ffd7,f0d19e91-f42e-4b22-bf71-4a1f68b45dd3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:59.914457+00:00,INCONSISTENT_CATEGORY,INFO,director,"Column 'director' contains case inconsistencies: {Kevin Macdonald, Kevin MacDonald}; {Fernando Frías de la Parra, Fernando Frías De La Parra}.",5,0.06,1
0846f69e-76d9-40a5-886b-2b3bd6f2e18c,ab02d2a8-adfa-4a67-b0d2-f29332e2ffd7,f0d19e91-f42e-4b22-bf71-4a1f68b45dd3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:59.914457+00:00,OUTLIER,INFO,release_year,Column 'release_year' has 719 statistical outliers (IQR method).,719,8.16,1
bab2ef79-7c41-4cf2-8129-1081a2532057,ab02d2a8-adfa-4a67-b0d2-f29332e2ffd7,f0d19e91-f42e-4b22-bf71-4a1f68b45dd3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:59.914457+00:00,OUTLIER,INFO,duration_minutes,Column 'duration_minutes' has 450 statistical outliers (IQR method).,450,5.11,1
