dataset_id,dataset_name,original_filename,version_id,version_number,version_label,report_id,evaluated_at,overall_score,grade,completeness_score,validity_score,uniqueness_score,consistency_score,is_trustworthy,row_count,column_count,file_size_mb
532431e2-653d-47eb-8525-5f19b564f33d,Export Test,export_test.csv,d10beb6a-15ce-49f8-95f2-aa6b98fd060d,1,v1,d28e9c75-e0d5-4f9f-afef-5bc4a32884a3,2026-09-23T19:04:16.436304+00:00,100.0,A,100.0,100.0,100.0,100.0,1,2,2,0.0
c13b5efe-1022-42d6-9415-58928c655290,Cleaning Test,test_clean.csv,d1602bfa-df73-45bf-8a1f-73933da7c3be,1,v1,75d3e8b9-3a9b-4c42-96f3-776edde66c1b,2026-09-23T19:04:16.277662+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,0.0
c13b5efe-1022-42d6-9415-58928c655290,Cleaning Test,test_clean.csv,bfd316da-3e4e-4226-bc77-b3e66b70356a,2,v2,bb9150f1-f8f4-4c14-9f03-fafbe1ad0321,2026-09-23T19:04:16.337487+00:00,100.0,A,100.0,100.0,100.0,100.0,1,3,3,0.0
f8ca89f7-9e4f-4d31-9729-3c5539dfa526,Users List,users.csv,6a5c5aee-8d48-4055-82e3-8b608921338f,1,v1,10c0ef02-9d17-4609-a1ae-b58225c65153,2026-09-23T19:04:16.126036+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,0.0
837a17f7-dcc3-4abb-a5b7-719874d08150,Export Test,export_test.csv,bd62e381-b2af-431b-a468-197eddaeb62e,1,v1,bb949969-e9fc-4156-ba88-8c131e2e81fa,2026-09-23T18:40:33.817538+00:00,100.0,A,100.0,100.0,100.0,100.0,1,2,2,0.0
a8e845d1-a5b3-4a60-bf54-d6bebb4187d7,Cleaning Test,test_clean.csv,2a29864e-9df7-4d6c-a39f-19198037e2ad,1,v1,adc225cb-cee7-4cf6-bdfa-0e9d676e47aa,2026-09-23T18:40:33.653605+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,0.0
a8e845d1-a5b3-4a60-bf54-d6bebb4187d7,Cleaning Test,test_clean.csv,dc569544-7b4c-4b55-bb4c-15ada51b4b42,2,v2,ecaa7320-8bd1-4596-b688-225ea752a569,2026-09-23T18:40:33.715066+00:00,100.0,A,100.0,100.0,100.0,100.0,1,3,3,0.0
db4af7ae-c90f-4c65-9949-ab3a77867100,Users List,users.csv,a1fbcb54-8ec6-44c5-8553-96ebf57b4746,1,v1,2817b6be-0bdb-403e-b1aa-91f3c3a28a5a,2026-09-23T18:40:33.469037+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,0.0
f65180d1-be63-48c5-8c0b-4baba7eecffe,Export Test,export_test.csv,1a88737b-9cec-4562-bd41-4e0adbea2328,1,v1,9d65df46-54a4-406b-a6ca-341720fa47fe,2026-09-23T18:27:38.383873+00:00,100.0,A,100.0,100.0,100.0,100.0,1,2,2,0.0
d6a60b0d-7479-4350-83e7-01f10265c88c,Cleaning Test,test_clean.csv,f462949a-6be5-4cf6-b909-075cc3f80d45,1,v1,7e075462-ab3f-416b-94cf-551ce1e27b22,2026-09-23T18:27:38.181459+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,0.0
d6a60b0d-7479-4350-83e7-01f10265c88c,Cleaning Test,test_clean.csv,90290522-cdab-4678-89dd-ae6455cc99a2,2,v2,46c36643-253a-4951-a93e-241f4bb9c285,2026-09-23T18:27:38.272731+00:00,100.0,A,100.0,100.0,100.0,100.0,1,3,3,0.0
b1aefd73-54e0-4490-bbb9-fea4c4320ec3,Users List,users.csv,1496609e-eca5-4e24-859e-158af7be71d6,1,v1,8a200d56-3a19-4e7d-89db-b45213f42e34,2026-09-23T18:27:37.874596+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,0.0
70e88d50-7788-4747-bc57-1a1d302757be,Netflix Movies & TV Shows,netflix_titles.csv,b916c004-7f91-4d13-b6cd-50aabb28c8a3,1,v1,0d76ca51-da95-41e3-b3c2-674426494521,2026-09-23T18:11:57.950984+00:00,96.81,A,89.36,100.0,100.0,99.99,1,8807,14,1.9
70e88d50-7788-4747-bc57-1a1d302757be,Netflix Movies & TV Shows,netflix_titles.csv,f0d19e91-f42e-4b22-bf71-4a1f68b45dd3,2,v2,ab02d2a8-adfa-4a67-b0d2-f29332e2ffd7,2026-09-23T18:11:59.914457+00:00,97.85,A,92.84,100.0,100.0,99.99,1,8807,14,1.91
