report_id,version_id,dataset_id,date_key,created_at,overall_score,grade,completeness_score,validity_score,uniqueness_score,consistency_score,is_trustworthy,row_count,column_count,file_size_bytes
0d76ca51-da95-41e3-b3c2-674426494521,b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:57.950984+00:00,96.81,A,89.36,100.0,100.0,99.99,1,8807,14,1996476
ab02d2a8-adfa-4a67-b0d2-f29332e2ffd7,f0d19e91-f42e-4b22-bf71-4a1f68b45dd3,70e88d50-7788-4747-bc57-1a1d302757be,20260923,2026-09-23T18:11:59.914457+00:00,97.85,A,92.84,100.0,100.0,99.99,1,8807,14,2002520
8a200d56-3a19-4e7d-89db-b45213f42e34,1496609e-eca5-4e24-859e-158af7be71d6,b1aefd73-54e0-4490-bbb9-fea4c4320ec3,20260923,2026-09-23T18:27:37.874596+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,2233
7e075462-ab3f-416b-94cf-551ce1e27b22,f462949a-6be5-4cf6-b909-075cc3f80d45,d6a60b0d-7479-4350-83e7-01f10265c88c,20260923,2026-09-23T18:27:38.181459+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,2293
46c36643-253a-4951-a93e-241f4bb9c285,90290522-cdab-4678-89dd-ae6455cc99a2,d6a60b0d-7479-4350-83e7-01f10265c88c,20260923,2026-09-23T18:27:38.272731+00:00,100.0,A,100.0,100.0,100.0,100.0,1,3,3,2304
9d65df46-54a4-406b-a6ca-341720fa47fe,1a88737b-9cec-4562-bd41-4e0adbea2328,f65180d1-be63-48c5-8c0b-4baba7eecffe,20260923,2026-09-23T18:27:38.383873+00:00,100.0,A,100.0,100.0,100.0,100.0,1,2,2,1661
2817b6be-0bdb-403e-b1aa-91f3c3a28a5a,a1fbcb54-8ec6-44c5-8553-96ebf57b4746,db4af7ae-c90f-4c65-9949-ab3a77867100,20260923,2026-09-23T18:40:33.469037+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,2233
adc225cb-cee7-4cf6-bdfa-0e9d676e47aa,2a29864e-9df7-4d6c-a39f-19198037e2ad,a8e845d1-a5b3-4a60-bf54-d6bebb4187d7,20260923,2026-09-23T18:40:33.653605+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,2293
ecaa7320-8bd1-4596-b688-225ea752a569,dc569544-7b4c-4b55-bb4c-15ada51b4b42,a8e845d1-a5b3-4a60-bf54-d6bebb4187d7,20260923,2026-09-23T18:40:33.715066+00:00,100.0,A,100.0,100.0,100.0,100.0,1,3,3,2304
bb949969-e9fc-4156-ba88-8c131e2e81fa,bd62e381-b2af-431b-a468-197eddaeb62e,837a17f7-dcc3-4abb-a5b7-719874d08150,20260923,2026-09-23T18:40:33.817538+00:00,100.0,A,100.0,100.0,100.0,100.0,1,2,2,1661
10c0ef02-9d17-4609-a1ae-b58225c65153,6a5c5aee-8d48-4055-82e3-8b608921338f,f8ca89f7-9e4f-4d31-9729-3c5539dfa526,20260923,2026-09-23T19:04:16.126036+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,2233
75d3e8b9-3a9b-4c42-96f3-776edde66c1b,d1602bfa-df73-45bf-8a1f-73933da7c3be,c13b5efe-1022-42d6-9415-58928c655290,20260923,2026-09-23T19:04:16.277662+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,2293
bb9150f1-f8f4-4c14-9f03-fafbe1ad0321,bfd316da-3e4e-4226-bc77-b3e66b70356a,c13b5efe-1022-42d6-9415-58928c655290,20260923,2026-09-23T19:04:16.337487+00:00,100.0,A,100.0,100.0,100.0,100.0,1,3,3,2304
d28e9c75-e0d5-4f9f-afef-5bc4a32884a3,d10beb6a-15ce-49f8-95f2-aa6b98fd060d,532431e2-653d-47eb-8525-5f19b564f33d,20260923,2026-09-23T19:04:16.436304+00:00,100.0,A,100.0,100.0,100.0,100.0,1,2,2,1661
c34a5093-5b22-493a-9414-8e62be4cd186,b4f498f5-bcf5-4917-9991-1a28567ffae4,1151e8ee-aef8-4788-b0a8-fd29988224a7,20260923,2026-09-23T19:32:04.430938+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,2233
375a20e4-0ab3-494b-be25-5d5cd55c98de,d68b258c-0b99-4557-88ef-968449a79716,d226ef16-7d11-4e43-951e-b3115e7fe65f,20260923,2026-09-23T19:32:04.594147+00:00,96.67,A,88.89,100.0,100.0,100.0,1,3,3,2293
a296f792-6168-4819-90ea-20d01c63eb2e,ece1d4dd-e134-41d1-979e-6aa03fd0580b,d226ef16-7d11-4e43-951e-b3115e7fe65f,20260923,2026-09-23T19:32:04.659734+00:00,100.0,A,100.0,100.0,100.0,100.0,1,3,3,2304
4eba71fa-44c9-4883-9106-6be5860facf4,2e29d1c9-67d8-4c3b-bc54-5537a129f563,44a7921b-c77c-46d4-a2ec-cce67bd773ff,20260923,2026-09-23T19:32:04.761498+00:00,100.0,A,100.0,100.0,100.0,100.0,1,2,2,1661
