version_id,dataset_id,version_number,version_label,parent_version_id,file_format,row_count,column_count,file_size_bytes,file_size_mb,is_latest_version,created_at
b4f498f5-bcf5-4917-9991-1a28567ffae4,1151e8ee-aef8-4788-b0a8-fd29988224a7,1,v1 (Raw),,parquet,3,3,2233,0.002,1,2026-09-23T19:32:04.384604+00:00
2e29d1c9-67d8-4c3b-bc54-5537a129f563,44a7921b-c77c-46d4-a2ec-cce67bd773ff,1,v1 (Raw),,parquet,2,2,1661,0.002,1,2026-09-23T19:32:04.721003+00:00
d10beb6a-15ce-49f8-95f2-aa6b98fd060d,532431e2-653d-47eb-8525-5f19b564f33d,1,v1 (Raw),,parquet,2,2,1661,0.002,1,2026-09-23T19:04:16.396677+00:00
b916c004-7f91-4d13-b6cd-50aabb28c8a3,70e88d50-7788-4747-bc57-1a1d302757be,1,v1 (Raw),,parquet,8807,14,1996476,1.904,0,2026-09-23T18:11:57.028698+00:00
f0d19e91-f42e-4b22-bf71-4a1f68b45dd3,70e88d50-7788-4747-bc57-1a1d302757be,2,v2 (Cleaned),b916c004-7f91-4d13-b6cd-50aabb28c8a3,parquet,8807,14,2002520,1.91,1,2026-09-23T18:11:59.196060+00:00
bd62e381-b2af-431b-a468-197eddaeb62e,837a17f7-dcc3-4abb-a5b7-719874d08150,1,v1 (Raw),,parquet,2,2,1661,0.002,1,2026-09-23T18:40:33.777958+00:00
2a29864e-9df7-4d6c-a39f-19198037e2ad,a8e845d1-a5b3-4a60-bf54-d6bebb4187d7,1,v1 (Raw),,parquet,3,3,2293,0.002,0,2026-09-23T18:40:33.615028+00:00
dc569544-7b4c-4b55-bb4c-15ada51b4b42,a8e845d1-a5b3-4a60-bf54-d6bebb4187d7,2,v2 (Cleaned),2a29864e-9df7-4d6c-a39f-19198037e2ad,parquet,3,3,2304,0.002,1,2026-09-23T18:40:33.698668+00:00
1496609e-eca5-4e24-859e-158af7be71d6,b1aefd73-54e0-4490-bbb9-fea4c4320ec3,1,v1 (Raw),,parquet,3,3,2233,0.002,1,2026-09-23T18:27:37.789329+00:00
d1602bfa-df73-45bf-8a1f-73933da7c3be,c13b5efe-1022-42d6-9415-58928c655290,1,v1 (Raw),,parquet,3,3,2293,0.002,0,2026-09-23T19:04:16.249525+00:00
bfd316da-3e4e-4226-bc77-b3e66b70356a,c13b5efe-1022-42d6-9415-58928c655290,2,v2 (Cleaned),d1602bfa-df73-45bf-8a1f-73933da7c3be,parquet,3,3,2304,0.002,1,2026-09-23T19:04:16.323128+00:00
d68b258c-0b99-4557-88ef-968449a79716,d226ef16-7d11-4e43-951e-b3115e7fe65f,1,v1 (Raw),,parquet,3,3,2293,0.002,0,2026-09-23T19:32:04.558858+00:00
ece1d4dd-e134-41d1-979e-6aa03fd0580b,d226ef16-7d11-4e43-951e-b3115e7fe65f,2,v2 (Cleaned),d68b258c-0b99-4557-88ef-968449a79716,parquet,3,3,2304,0.002,1,2026-09-23T19:32:04.641973+00:00
f462949a-6be5-4cf6-b909-075cc3f80d45,d6a60b0d-7479-4350-83e7-01f10265c88c,1,v1 (Raw),,parquet,3,3,2293,0.002,0,2026-09-23T18:27:38.135889+00:00
90290522-cdab-4678-89dd-ae6455cc99a2,d6a60b0d-7479-4350-83e7-01f10265c88c,2,v2 (Cleaned),f462949a-6be5-4cf6-b909-075cc3f80d45,parquet,3,3,2304,0.002,1,2026-09-23T18:27:38.255584+00:00
a1fbcb54-8ec6-44c5-8553-96ebf57b4746,db4af7ae-c90f-4c65-9949-ab3a77867100,1,v1 (Raw),,parquet,3,3,2233,0.002,1,2026-09-23T18:40:33.408212+00:00
1a88737b-9cec-4562-bd41-4e0adbea2328,f65180d1-be63-48c5-8c0b-4baba7eecffe,1,v1 (Raw),,parquet,2,2,1661,0.002,1,2026-09-23T18:27:38.345237+00:00
6a5c5aee-8d48-4055-82e3-8b608921338f,f8ca89f7-9e4f-4d31-9729-3c5539dfa526,1,v1 (Raw),,parquet,3,3,2233,0.002,1,2026-09-23T19:04:16.084891+00:00
